commit,author,date,message,insertions,deletions,path,URLcommit
e8519a08243f591a1b06cc506aa37d829afc97ba,automatico <actions@users.noreply.github.com>,2021-07-06 05:14:04 +0000,Data-e-ora-aggiornamento-2021-07-06T05-14-04-00-00,2,2,openregio_immobiliGestione.csv,https://github.com/aborruso/firstaction/commit/e8519a08243f591a1b06cc506aa37d829afc97ba
9fa8dc0c27391ecdb5b9fb5d3b92c6337c97ff5c,automatico <actions@users.noreply.github.com>,2021-07-05 05:14:01 +0000,Data-e-ora-aggiornamento-2021-07-05T05-14-01-00-00,14,0,openregio_immobiliGestione.csv,https://github.com/aborruso/firstaction/commit/9fa8dc0c27391ecdb5b9fb5d3b92c6337c97ff5c
1cc40646dcf2a40f3b97f26ed5252fa26a3a0922,automatico <actions@users.noreply.github.com>,2021-07-03 05:13:51 +0000,Data-e-ora-aggiornamento-2021-07-03T05-13-51-00-00,1,1,openregio_aziendeGestione.csv,https://github.com/aborruso/firstaction/commit/1cc40646dcf2a40f3b97f26ed5252fa26a3a0922
1cc40646dcf2a40f3b97f26ed5252fa26a3a0922,automatico <actions@users.noreply.github.com>,2021-07-03 05:13:51 +0000,Data-e-ora-aggiornamento-2021-07-03T05-13-51-00-00,1,1,openregio_immobiliGestione.csv,https://github.com/aborruso/firstaction/commit/1cc40646dcf2a40f3b97f26ed5252fa26a3a0922
1cc40646dcf2a40f3b97f26ed5252fa26a3a0922,automatico <actions@users.noreply.github.com>,2021-07-03 05:13:51 +0000,Data-e-ora-aggiornamento-2021-07-03T05-13-51-00-00,1,1,openregio_procedureGestione.csv,https://github.com/aborruso/firstaction/commit/1cc40646dcf2a40f3b97f26ed5252fa26a3a0922
1784e38f887e83bc44bfdf91d9e6dc1935f230ca,automatico <actions@users.noreply.github.com>,2021-07-02 05:13:54 +0000,Data-e-ora-aggiornamento-2021-07-02T05-13-54-00-00,0,1,openregio_aziendeGestione.csv,https://github.com/aborruso/firstaction/commit/1784e38f887e83bc44bfdf91d9e6dc1935f230ca
1784e38f887e83bc44bfdf91d9e6dc1935f230ca,automatico <actions@users.noreply.github.com>,2021-07-02 05:13:54 +0000,Data-e-ora-aggiornamento-2021-07-02T05-13-54-00-00,3,5,openregio_immobiliGestione.csv,https://github.com/aborruso/firstaction/commit/1784e38f887e83bc44bfdf91d9e6dc1935f230ca
1784e38f887e83bc44bfdf91d9e6dc1935f230ca,automatico <actions@users.noreply.github.com>,2021-07-02 05:13:54 +0000,Data-e-ora-aggiornamento-2021-07-02T05-13-54-00-00,1,1,openregio_procedureGestione.csv,https://github.com/aborruso/firstaction/commit/1784e38f887e83bc44bfdf91d9e6dc1935f230ca
315736f6b1924b41794c3a196abee78d4a0d295a,automatico <actions@users.noreply.github.com>,2021-07-01 05:14:13 +0000,Data-e-ora-aggiornamento-2021-07-01T05-14-13-00-00,65,9,openregio_aziendeGestione.csv,https://github.com/aborruso/firstaction/commit/315736f6b1924b41794c3a196abee78d4a0d295a
315736f6b1924b41794c3a196abee78d4a0d295a,automatico <actions@users.noreply.github.com>,2021-07-01 05:14:13 +0000,Data-e-ora-aggiornamento-2021-07-01T05-14-13-00-00,19,1,openregio_immobiliDestinati.csv,https://github.com/aborruso/firstaction/commit/315736f6b1924b41794c3a196abee78d4a0d295a
